design,left,right,metric,median_difference,lower_95,upper_95,interval_includes_zero
family_holdout_2_B2_S2,hybrid-random_forest,telemetry_only-logistic_regression,balanced_accuracy,-0.33333333333333326,-0.5,-0.16666666666666663,False
family_holdout_2_B2_S2,hybrid-random_forest,telemetry_only-random_forest,mcc,0.0,0.0,0.0,True
family_holdout_2_B2_S2,hybrid-random_forest,telemetry_only-random_forest,recall,0.0,0.0,0.0,True
family_holdout_2_B2_S2,hybrid-random_forest,telemetry_only-random_forest,false_positive_rate,0.0,0.0,0.0,True
family_holdout_2_B2_S2,hybrid-random_forest,telemetry_only-random_forest,balanced_accuracy,0.0,0.0,0.0,True
family_holdout_2_B2_S2,hybrid-random_forest,telemetry_only-xgboost,mcc,0.0,0.0,0.0,True
family_holdout_2_B2_S2,hybrid-random_forest,telemetry_only-xgboost,recall,0.0,0.0,0.0,True
family_holdout_2_B2_S2,hybrid-random_forest,telemetry_only-xgboost,false_positive_rate,0.0,0.0,0.0,True
family_holdout_2_B2_S2,hybrid-random_forest,telemetry_only-xgboost,balanced_accuracy,0.0,0.0,0.0,True
family_holdout_2_B2_S2,hybrid-xgboost,rule_baseline,mcc,0.8451542547285166,0.5773502691896257,1.0,False
family_holdout_2_B2_S2,hybrid-xgboost,rule_baseline,recall,0.0,0.0,0.0,True
family_holdout_2_B2_S2,hybrid-xgboost,rule_baseline,false_positive_rate,-0.8333333333333334,-1.0,-0.5,False
family_holdout_2_B2_S2,hybrid-xgboost,rule_baseline,balanced_accuracy,0.41666666666666674,0.25,0.5,False
family_holdout_2_B2_S2,hybrid-xgboost,telemetry_only-logistic_regression,mcc,0.138047473541969,0.0,0.42264973081037427,True
family_holdout_2_B2_S2,hybrid-xgboost,telemetry_only-logistic_regression,recall,0.0,0.0,0.0,True
family_holdout_2_B2_S2,hybrid-xgboost,telemetry_only-logistic_regression,false_positive_rate,-0.16666666666666666,-0.5,0.0,True
family_holdout_2_B2_S2,hybrid-xgboost,telemetry_only-logistic_regression,balanced_accuracy,0.08333333333333343,0.0,0.2500000000000001,True
family_holdout_2_B2_S2,hybrid-xgboost,telemetry_only-random_forest,mcc,0.8451542547285166,0.5773502691896257,1.0,False
family_holdout_2_B2_S2,hybrid-xgboost,telemetry_only-random_forest,recall,0.0,0.0,0.0,True
family_holdout_2_B2_S2,hybrid-xgboost,telemetry_only-random_forest,false_positive_rate,-0.8333333333333334,-1.0,-0.5,False
family_holdout_2_B2_S2,hybrid-xgboost,telemetry_only-random_forest,balanced_accuracy,0.41666666666666674,0.25,0.5,False
family_holdout_2_B2_S2,hybrid-xgboost,telemetry_only-xgboost,mcc,0.8451542547285166,0.5773502691896257,1.0,False
family_holdout_2_B2_S2,hybrid-xgboost,telemetry_only-xgboost,recall,0.0,0.0,0.0,True
family_holdout_2_B2_S2,hybrid-xgboost,telemetry_only-xgboost,false_positive_rate,-0.8333333333333334,-1.0,-0.5,False
family_holdout_2_B2_S2,hybrid-xgboost,telemetry_only-xgboost,balanced_accuracy,0.41666666666666674,0.25,0.5,False
family_holdout_2_B2_S2,rule_baseline,telemetry_only-logistic_regression,mcc,-0.7071067811865476,-1.0,-0.4472135954999579,False
family_holdout_2_B2_S2,rule_baseline,telemetry_only-logistic_regression,recall,0.0,0.0,0.0,True
family_holdout_2_B2_S2,rule_baseline,telemetry_only-logistic_regression,false_positive_rate,0.6666666666666667,0.33333333333333337,1.0,False
family_holdout_2_B2_S2,rule_baseline,telemetry_only-logistic_regression,balanced_accuracy,-0.33333333333333326,-0.5,-0.16666666666666663,False
family_holdout_2_B2_S2,rule_baseline,telemetry_only-random_forest,mcc,0.0,0.0,0.0,True
